Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149926023122103,14.047251612431912,33198.810224283108,42511.071654673426,26.95810181667985,1494.2090831930786,1019.974358872526
0.44999999999999996,0.4497868104138526,14.048263948591048,33194.661455770249,42504.6571845968,26.953567573864117,1494.2120890568931,1019.9720202834856
0.74999999999999989,0.74964519989246792,14.047758033260722,33192.078959628991,42501.901045581304,26.951501084415536,1494.212941359139,1019.9718791430885
1.05,1.0495045821494187,14.049487997764723,33183.073307751845,42488.487057309583,26.942102708262336,1494.2126436907824,1019.9656541590409
1.35,1.3493651105372255,14.062850804565775,33193.680653441,42487.529673027893,26.942204336041289,1494.2620400693841,1019.9644697782303
1.65,1.649225203200251,14.052861002719398,33187.807243614072,42490.878249999507,26.943802090938291,1494.2357134737404,1019.9690060772101
1.9500000000000002,1.9490816785898912,14.044211116415179,33206.364644984635,42524.056313976638,26.966417136386891,1494.2383896203085,1019.9894660500544
2.25,2.2489360920630412,14.041655427853186,33193.079071711036,42509.825349299041,26.956164541039051,1494.2228716359118,1019.9834211220747
2.55,2.5487851273762052,14.003542031482612,33212.969400630296,42576.863113895757,27.000601031888795,1494.153226131652,1020.0264439843622
2.85,2.8486176193500623,13.950234685298616,33255.438082852794,42689.65046236902,27.076123649717243,1494.0693383425773,1020.0963681873473
3.15,3.1484138628753486,13.770164452784439,33317.142192192005,42967.501766424924,27.258893590269384,1493.6882776939738,1020.2735160258989
3.4499999999999997,3.4481450182805435,13.593558825703147,33508.178974147078,43411.620998049519,27.558412802188382,1493.4537807271008,1020.5398510072018
3.75,3.7478129337829573,13.499487092167268,33640.353750068891,43689.353145841043,27.746787284035207,1493.3644283861784,1020.704561153624
4.05,4.0474000434838162,13.127976249532154,33787.413383803374,44307.902893505867,28.153947689953814,1492.5962731727561,1021.0908701684604
4.35,4.3468998802403327,12.956770159593607,33895.223423179785,44649.772992622158,28.381035717861472,1492.2886177383862,1021.299866758405
4.6499999999999995,4.6463441448030869,12.844600580559073,34010.79371951778,44934.803377194665,28.572625552554896,1492.1384411214692,1021.4702864909011
4.9499999999999993,4.9457330432895308,12.693730417685424,34135.358163050638,45279.888438734575,28.803214456153114,1491.9016863513136,1021.6780314224159
5.2499999999999991,5.2450526635009371,12.511983869327809,34304.452402674055,45724.657648303648,29.101230991800321,1491.6378587070067,1021.9435793142025
5.55,5.5443105519134672,12.413402047649187,34411.112397428922,45987.68157143717,29.278071970538569,1491.5143509931604,1022.0999610182687
5.85,5.8435332450213187,12.361564667777421,34469.0000284105,46128.956770028395,29.373071790193752,1491.4539543036942,1022.1843844290153
6.1499999999999995,6.1427249828133546,12.234872049300153,34504.511183989227,46333.59708918049,29.505991629748785,1491.1806391501041,1022.3118618475456
6.4499999999999993,6.4418914415676918,12.193923528191453,34520.73559643716,46406.418470844939,29.553547623037566,1491.10088810014,1022.3575222189043
6.7499999999999991,6.74104387556651,12.137896852592276,34527.292438634395,46485.255446316878,29.603931981288124,1490.9723067846664,1022.4081080397775
7.153275834634,7.1431676636243386,12.143068134440126,34550.197615916069,46509.61720617814,29.621464176876128,1491.0176813058013,1022.4225733733127
