"Pressure (Decibar)","Depth (Meter)","Temperature (Celsius)","Conductivity (MicroSiemens per Centimeter)","Specific conductance (MicroSiemens per Centimeter)","Salinity (Practical Salinity Scale)","Sound velocity (Meters per Second)","Density (Kilograms per Cubic Meter)"
0.535066764503036,0.535760777629072,14.4108200130491,36379.8242574708,46154.6147040652,29.5565026204453,1498.44561816522,1021.90475396944
0.15,0.149798681155052,15.9504427676386,36588.8140136807,44674.5035472428,28.6006296330043,1502.26144869094,1020.84408110463
0.45,0.449379287294498,15.8390626181085,36698.2014512691,44930.2690838412,28.7761388126434,1502.11800644797,1021.00420821871
0.75,0.748886532578748,15.5660759387761,36864.5008562742,45437.5977995895,29.1211585017167,1501.658286824,1021.32918540994
1.05,1.04833753644111,15.5223722558386,36899.3832792609,45529.6435340658,29.1839693518185,1501.59721973447,1021.38812638122
1.35,1.34778029030177,15.5218470837209,36893.5331223038,45523.0150862561,29.1791163448022,1501.59490918302,1021.38585108068
1.65,1.64722271794605,15.4994996305325,36873.0067967686,45522.7930383738,29.1775135440717,1501.52709617418,1021.3907400605
1.95,1.94665159596322,15.3659807881933,36846.5750514632,45640.6289801342,29.2531781905646,1501.19499930336,1021.47868173009
2.25,2.24604766626918,15.1891557105225,36840.9343422502,45834.4218619706,29.3800208044918,1500.78249509685,1021.61498999025
2.55,2.54540090797358,14.9905608110303,36838.7763888889,46059.3395563584,29.5273057205021,1500.32165497085,1021.77137857654
2.85,2.84472511993899,14.944183530469,36844.952958979,46120.5483532716,29.5677485637605,1500.22447659713,1021.81354315524
3.15,3.14404006055265,14.9362571259946,36865.3500337562,46155.2392321719,29.5918270843505,1500.2319050092,1021.83506673719
3.45,3.44334268620934,14.9079398335681,36922.5386061431,46259.6400116427,29.6642127437807,1500.22983346582,1021.89802006652
3.75,3.74262953945937,14.8789104848262,36952.860276058,46331.3313062031,29.7132499678324,1500.19831055517,1021.94315868566
4.05,4.0419018273877,14.8489050325464,36995.9054194592,46420.2283466045,29.7744788465419,1500.17777526774,1021.99788077933
4.35,4.34115007883562,14.7335955724528,37020.0939248035,46585.3812012792,29.8842503322253,1499.93833536583,1022.10772654037
4.65,4.64036935095146,14.6326231028636,37029.5471794955,46715.9933918429,29.9702669843588,1499.7168149376,1022.19623815014
4.95,4.93957235840514,14.6040568017839,37027.9171986867,46747.6316681514,29.9907177845148,1499.653051622,1022.21923961072
5.25,5.2387695483651,14.5781934962501,37020.9372003116,46769.362027374,30.0042864890573,1499.58997674625,1022.23637749309
5.55,5.53795395512282,14.4949300236341,37024.6374294589,46872.6459412677,30.0719174678706,1499.40351242441,1022.30698347086
5.71512702753335,5.70262729052704,14.4925355911255,37004.94140625,46850.5514426447,30.0559357717211,1499.37982081456,1022.29590566186
0.15,0.149786051617515,15.9129916081622,36673.5652658684,44818.9729280907,28.7012473916547,1502.25951496586,1020.9293960846
0.45,0.449322869323714,15.7743142258639,36945.9085375545,45305.370843146,29.0393247969709,1502.2172422086,1021.22019819858
0.75,0.748808162928744,15.726903344583,36954.5225908725,45368.6869809459,29.0815553044502,1502.12131777034,1021.26419294494
1.05,1.04828154653358,15.6831764040679,36957.8548867432,45421.5454069704,29.1165364166158,1502.02852606647,1021.30181513993
1.35,1.34774479744385,15.6330025716869,36945.1039234319,45461.9417531985,29.1422472452724,1501.90451077462,1021.33369342529
1.65,1.64719710253649,15.5739850866916,36938.8263029226,45520.3330705599,29.1802201963387,1501.76645750683,1021.3768676198
1.95,1.94663505190922,15.4952979904355,36927.3980166973,45594.6737636295,29.2283320717202,1501.57745373941,1021.43201407902
2.25,2.24605606292699,15.3903299262035,36893.7718263326,45671.5405565399,29.2765758265571,1501.30455341347,1021.49281836384
2.55,2.54545038657642,15.2191316481603,36873.0284856866,45840.159862543,29.3858939287764,1500.89009381898,1021.61450932613
2.85,2.84481140894847,15.0761357743026,36861.3244082387,45989.1200786314,29.4827488197657,1500.5495928318,1021.7204821301
3.15,3.14414707318583,14.993626933034,36862.8964805533,46085.9633239531,29.546255302872,1500.36342571838,1021.78799459441
3.45,3.44346321166882,14.9307189555582,36884.9756392145,46186.2152798533,29.613418423442,1500.24412719309,1021.85417752966
3.75,3.74275667443584,14.8612362038517,36932.5259947839,46326.368060827,29.7085318649742,1500.13589027314,1021.94321927328
4.05,4.04202620565479,14.80058667554,36969.2655162998,46443.1163008707,29.787529407381,1500.03714772078,1022.01799993802
4.35,4.34127837395789,14.7722308855598,36998.784493578,46513.338163049,29.8355415433953,1500.00643936862,1022.06219847962
4.65,4.64052169709889,14.7653655846827,37013.100930279,46539.3696072747,29.8535202469011,1500.01014984093,1022.07880731287
4.95,4.93975898339324,14.7450912186862,37024.0871956581,46576.9307106926,29.8788004765407,1499.97904848733,1022.1038258258
5.25,5.23897990131179,14.6378589894147,37024.4278623953,46703.3649222611,29.9614142303672,1499.73337513141,1022.19102264727
5.55,5.53818256905023,14.5919736599055,37024.2646698824,46757.2859437627,29.9965376710707,1499.6305837233,1022.22890508579
5.85,5.83737560016697,14.5516751320735,37016.7721807998,46795.4543735392,30.020803207645,1499.53312133505,1022.25725894589
6.27897056359895,6.26518734602419,14.5913404305139,37053.7898842,46795.3212511617,30.0233475745225,1499.67181973244,1022.25294371911
0.15,0.149790018520827,16.5344565665862,37360.5234375,44975.3367756302,28.8458013915925,1504.36407649177,1020.90359190892
0.45,0.449380730428073,16.5465515491742,37326.0932616622,44920.8079489861,28.8074778535811,1504.36256330232,1020.87286988083
